model
@cf/meta/llama-3.1-8b-instruct-fast
@cf/nvidia/nemotron-3-120b-a12b
@cf/zai-org/glm-4.7-flash
@cf/ibm-granite/granite-4.0-h-micro
@cf/aisingapore/gemma-sea-lion-v4-27b-it
@cf/qwen/qwen3-30b-a3b-fp8
@cf/mistralai/mistral-small-3.1-24b-instruct
@cf/qwen/qwq-32b
@cf/qwen/qwen2.5-coder-32b-instruct
@cf/meta/llama-guard-3-8b
@cf/deepseek-ai/deepseek-r1-distill-qwen-32b
@cf/meta/llama-3.3-70b-instruct-fp8-fast
@cf/meta/llama-3.2-1b-instruct
@cf/meta/llama-3.2-3b-instruct
@cf/meta/llama-3.1-8b-instruct-awq
@cf/meta/llama-3.1-8b-instruct-fp8
@cf/meta/llama-3.1-8b-instruct
@hf/meta-llama/meta-llama-3-8b-instruct
@cf/meta/llama-3-8b-instruct-awq
@cf/meta/llama-3-8b-instruct
@hf/mistral/mistral-7b-instruct-v0.2
@cf/google/gemma-2b-it-lora
@cf/mistral/mistral-7b-instruct-v0.2-lora
@cf/defog/sqlcoder-7b-2
@cf/mistral/mistral-7b-instruct-v0.1
@cf/meta/llama-2-7b-chat-int8
@cf/meta/llama-3.1-70b-instruct
